"type","id","title","link","count_306","count_679","count_024","wrong_email"
"service","15585","Đăng ký FDA là gì ? Thủ tục xin giấy chứng nhận FDA","https://knacert.com.vn/dich-vu/dang-ky-fda-la-gi-thu-tuc-xin-giay-chung-nhan-fda/","0","1","0","0"
"course","15070","Khóa học ISO 27001:2022 - Nhận thức & Chuyên sâu","https://knacert.com.vn/course/khoa-hoc-iso-270012013-nhan-thuc-chuyen-sau/","1","0","0","0"
"course","15063","Khóa đào tạo ISO 50001:2018 - Nhận thức & chuyên sâu","https://knacert.com.vn/course/khoa-dao-tao-iso-500012018-nhan-thuc-chuyen-sau/","1","0","0","0"
