row,keyword,url,reason
74,iso 17025 là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/tim-hieu-iso-17025-la-gi-kna-cert/,url_not_found_in_page_classification
75,iso 17025 pdf,https://knacert.com.vn/blogs/tin-tuc/tieu-chuan-isoiec-170252017-pdf?lang=vi,url_not_found_in_page_classification
77,chứng chỉ iso 45001 là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-45001-la-gi-kna-cert/,url_not_found_in_page_classification
79,chứng nhận iso 45001 2018,,blank_url
82,iso 45001 là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-45001-la-gi-kna-cert/,url_not_found_in_page_classification
83,iso 9001,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-90012015-la-gi-kna-cert/,url_not_found_in_page_classification
84,iso 9001 2015,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-90012015-la-gi-kna-cert/,url_not_found_in_page_classification
85,iso 14001,https://knacert.com.vn/tin-tuc-tieu-chuan/danh-sach-tai-lieu-iso-140012015-bat-buoc/,url_not_found_in_page_classification
87,iso 14001 2015,https://knacert.com.vn/tin-tuc-tieu-chuan/danh-sach-tai-lieu-iso-140012015-bat-buoc/,url_not_found_in_page_classification
91,iso 9001 2015 la gi,,blank_url
94,iso 9001 2008,https://knacert.com.vn/tin-tuc-tieu-chuan/so-sanh-iso-90012015-va-iso-90012008-kna-cert/,url_not_found_in_page_classification
95,tcvn iso 9001 2015,https://knacert.com.vn/tin-tuc-tieu-chuan/tai-lieu-iso-90012015-pdf/,url_not_found_in_page_classification
96,quyết định công bố iso 9001 2015,https://knacert.com.vn/blogs/tin-tong-hop/hoi---dap-giay-chung-nhan-iso-9001-do-co-quan-nao-cap,url_not_found_in_page_classification
97,quy trình bán hàng iso 9001,https://knacert.com.vn/cong-cu-cai-tien/cac-quy-trinh-can-thiet-cua-iso-90012015/,url_not_found_in_page_classification
98,iso 9001 pdf,https://knacert.com.vn/tin-tuc-tieu-chuan/tai-lieu-iso-90012015-pdf/,url_not_found_in_page_classification
99,iso 9001 2015 pdf,https://knacert.com.vn/tin-tuc-tieu-chuan/tai-lieu-iso-90012015-pdf/,url_not_found_in_page_classification
102,các yêu cầu của tiêu chuẩn iso 9001 2015,,blank_url
103,bộ quy trình iso 9001 2015,https://knacert.com.vn/cong-cu-cai-tien/cac-quy-trinh-can-thiet-cua-iso-90012015/,url_not_found_in_page_classification
105,tư vấn iso 9001,https://knacert.com.vn/tin-tuc-tieu-chuan/hoi-dap-giay-chung-nhan-iso-9001-do-co-quan-nao-cap/,url_not_found_in_page_classification
106,tiêu chuẩn iso 9001 mới nhất,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-90012015-la-gi-kna-cert/,url_not_found_in_page_classification
108,tieu chuan iso 9001 la gi,,blank_url
109,logo iso 9001,https://knacert.com.vn/tin-tuc-tieu-chuan/hoi-dap-giay-chung-nhan-iso-9001-do-co-quan-nao-cap/,url_not_found_in_page_classification
114,tiêu chuẩn iso 9001 2015 pdf,https://knacert.com.vn/tin-tuc-tieu-chuan/tai-lieu-iso-90012015-pdf/,url_not_found_in_page_classification
115,logo iso 9001 2015,https://knacert.com.vn/blogs/tin-tong-hop/logo-iso-90012015---huong-dan-tai-su-dung-chuan,url_not_found_in_page_classification
116,chứng nhận iso 9001 là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/hoi-dap-giay-chung-nhan-iso-9001-do-co-quan-nao-cap/,url_not_found_in_page_classification
119,iso 14064,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-14064-la-gi-huong-dan-kiem-ke-khi-nha-kinh-toan-dien/,url_not_found_in_page_classification
120,iso 14064 1,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-14064-la-gi-huong-dan-kiem-ke-khi-nha-kinh-toan-dien/,url_not_found_in_page_classification
121,iso 14064 1 2018,https://knacert.com.vn/tin-tuc-tieu-chuan/download-tieu-chuan-iso-14064-12018-pdf-tieng-viet/,url_not_found_in_page_classification
122,tiêu chuẩn iso 14064,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-14064-la-gi-huong-dan-kiem-ke-khi-nha-kinh-toan-dien/,url_not_found_in_page_classification
123,báo cáo cbam,https://knacert.com.vn/tin-tuc-tieu-chuan/cbam-la-gi-toan-canh-co-che-dieu-chinh-bien-gioi-carbon-cua-eu/,url_not_found_in_page_classification
124,cbam,https://knacert.com.vn/tin-tuc-tieu-chuan/cbam-la-gi-toan-canh-co-che-dieu-chinh-bien-gioi-carbon-cua-eu/,url_not_found_in_page_classification
125,cbam là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/cbam-la-gi-toan-canh-co-che-dieu-chinh-bien-gioi-carbon-cua-eu/,url_not_found_in_page_classification
126,chứng chỉ cbam,https://knacert.com.vn/tin-tuc-tieu-chuan/chung-chi-cbam-la-gi-cach-mua-cbam-certificate-tu-eu/,url_not_found_in_page_classification
127,cơ chế cbam,https://knacert.com.vn/tin-tuc-tieu-chuan/cbam-la-gi-toan-canh-co-che-dieu-chinh-bien-gioi-carbon-cua-eu/,url_not_found_in_page_classification
128,cơ chế cbam là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/cbam-la-gi-toan-canh-co-che-dieu-chinh-bien-gioi-carbon-cua-eu/,url_not_found_in_page_classification
129,cơ chế điều chỉnh biên giới carbon cbam,,blank_url
130,eu cbam,https://knacert.com.vn/tin-tuc-tieu-chuan/cbam-la-gi-toan-canh-co-che-dieu-chinh-bien-gioi-carbon-cua-eu/,url_not_found_in_page_classification
133,haccp,https://knacert.com.vn/tin-tuc-tieu-chuan/muc-dich-cua-viec-ap-dung-haccp-la-gi/,url_not_found_in_page_classification
134,haccpa,https://knacert.com.vn/tin-tuc-tieu-chuan/muc-dich-cua-viec-ap-dung-haccp-la-gi/,url_not_found_in_page_classification
135,haccp là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/muc-dich-cua-viec-ap-dung-haccp-la-gi/,url_not_found_in_page_classification
142,haccp,https://knacert.com.vn/tin-tuc-tieu-chuan/muc-dich-cua-viec-ap-dung-haccp-la-gi/,url_not_found_in_page_classification
143,iso 22000,https://knacert.com.vn/tin-tuc-tieu-chuan/cac-phien-ban-cua-iso-22000-va-su-khac-nhau-cua-iso-22000-phien-ban-2018-voi-2005/,url_not_found_in_page_classification
144,iso 220002018,https://knacert.com.vn/tin-tuc-tieu-chuan/bai-giang-iso-220002018/,url_not_found_in_page_classification
146,chứng nhận iso 22000 la gì,,blank_url
150,chứng nhận iso 22000 2018 là gì,,blank_url
154,eudr,https://knacert.com.vn/tin-tuc-tieu-chuan/eudr-la-gi-tat-tan-tat-quy-dinh-chong-pha-rung-eu-moi-nhat-20231115/,url_not_found_in_page_classification
155,eudr là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/eudr-la-gi-tat-tan-tat-quy-dinh-chong-pha-rung-eu-moi-nhat-20231115/,url_not_found_in_page_classification
159,fsc,https://knacert.com.vn/phat-trien-ben-vung/can-lam-gi-de-duoc-cap-chung-chi-fsc-fm/,url_not_found_in_page_classification
160,fsc là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/hoa-don-fsc-ho-so-fsc-can-co-khi-xuat-hang-fsc/,url_not_found_in_page_classification
161,chứng chỉ fsc,https://knacert.com.vn/blogs/tin-tuc/danh-sach-to-chuc-chung-nhan-iso-tai-viet-nam,url_not_found_in_page_classification
162,chứng nhận fsc,https://knacert.com.vn/tin-tuc-tieu-chuan/fsc-certificate-la-gi-giay-chung-nhan-fsc-la-gi/,url_not_found_in_page_classification
163,chứng chỉ fsc là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/chung-chi-fsc-la-gi-quy-trinh-cap-chung-chi-fsc/,url_not_found_in_page_classification
164,chứng nhận fsc là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/fsc-certificate-la-gi-giay-chung-nhan-fsc-la-gi/,url_not_found_in_page_classification
165,tiêu chuẩn fsc,https://knacert.com.vn/tin-tuc-tieu-chuan/tim-hieu-ve-tieu-chuan-fsc/,url_not_found_in_page_classification
166,fsc fm là gì,,blank_url
169,chứng nhận kosher,https://knacert.com.vn/blogs/tin-tuc/phan-biet-tieu-chuan-halal-va-kosher,url_not_found_in_page_classification
170,kosher food là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/phan-biet-tieu-chuan-halal-va-kosher/,url_not_found_in_page_classification
171,brc,https://knacert.com.vn/phat-trien-ben-vung/nhung-cau-hoi-tuong-gap-ve-tieu-chuan-brc-an-toan-thuc-pham/,url_not_found_in_page_classification
172,brc la gi,https://knacert.com.vn/phat-trien-ben-vung/nhung-cau-hoi-tuong-gap-ve-tieu-chuan-brc-an-toan-thuc-pham/,url_not_found_in_page_classification
173,brc là gì,https://knacert.com.vn/phat-trien-ben-vung/nhung-cau-hoi-tuong-gap-ve-tieu-chuan-brc-an-toan-thuc-pham/,url_not_found_in_page_classification
175,tiêu chuẩn brc là gì,https://knacert.com.vn/phat-trien-ben-vung/nhung-cau-hoi-tuong-gap-ve-tieu-chuan-brc-an-toan-thuc-pham/,url_not_found_in_page_classification
176,ifs food là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-ifs-food-la-gi/,url_not_found_in_page_classification
178,chứng nhận halal gcc,,blank_url
199,chứng chỉ grs là gì,https://knacert.com.vn/cong-cu-cai-tien/tieu-chuan-tai-che-toan-cau-grs-la-gi-kna-cert/,url_not_found_in_page_classification
202,giấy chứng nhận grs,https://knacert.com.vn/blogs/tin-tuc/cac-cau-hoi-thuong-gap-ve-tieu-chuan-tai-che-toan-cau-grs,url_not_found_in_page_classification
203,grs là gì,https://knacert.com.vn/cong-cu-cai-tien/tieu-chuan-tai-che-toan-cau-grs-la-gi-kna-cert/,url_not_found_in_page_classification
