row,keyword,old_url,new_url,gsc_clicks,gsc_impressions,gsc_position,gsc_page_count_for_query
234,rba là gì,https://knacert.com.vn/blogs/tin-tuc/rba-la-gi-quy-tac-ung-xu-rba-ve-trach-nhiem-xa-hoi-nganh-dien-tu,https://knacert.com.vn/tin-tuc-tieu-chuan/rba-la-gi-quy-tac-ung-xu-rba-ve-trach-nhiem-xa-hoi-nganh-dien-tu/,7.0,570.0,5.443859649122807,4
236,tiêu chuẩn rba là gì,https://knacert.com.vn/blogs/tin-tuc/rba-la-gi-quy-tac-ung-xu-rba-ve-trach-nhiem-xa-hoi-nganh-dien-tu,https://knacert.com.vn/tin-tuc-tieu-chuan/rba-la-gi-quy-tac-ung-xu-rba-ve-trach-nhiem-xa-hoi-nganh-dien-tu/,0.0,47.0,4.382978723404255,3
237,chứng nhận ocs,,https://knacert.com.vn/dich-vu/tu-van-ocs-tieu-chuan-ve-thanh-phan-huu-co/,0.0,6.0,2.333333333333333,2
238,ocs,https://knacert.com.vn/ocs,https://knacert.com.vn/dich-vu/tu-van-ocs-tieu-chuan-ve-thanh-phan-huu-co/,0.0,312.0,5.506410256410256,2
239,tiêu chuẩn ocs,,https://knacert.com.vn/cong-cu-cai-tien/tieu-chuan-thanh-phan-huu-co-ocs-la-gi-kna-cert/,0.0,12.0,10.333333333333334,3
242,tiêu chuẩn costco,,https://knacert.com.vn/dich-vu/bo-quy-tac-ung-xu-cho-nha-cung-cap-hang-hoa-cua-costco/,0.0,1.0,17.0,1
244,rws là gì,https://knacert.com.vn/tu-van-rws-tieu-chuan-len-co-trach-nhiem,https://knacert.com.vn/dich-vu/tu-van-rws-tieu-chuan-len-co-trach-nhiem/,0.0,16.0,8.25,1
245,rws,https://knacert.com.vn/rws-pre-audit---the-responsible-wool-standard?lang=en,https://knacert.com.vn/dich-vu/tu-van-rws-tieu-chuan-len-co-trach-nhiem/,0.0,2.0,6.0,1
246,chứng chỉ rcs,,https://knacert.com.vn/dich-vu/rcs-tieu-chuan-tuyen-bo-tai-che-quoc-te/,0.0,11.0,1.9090909090909092,1
247,chứng nhận rcs,https://knacert.com.vn/blogs/tin-tuc/tieu-chuan-tuyen-bo-tai-che-rcs-la-gi,https://knacert.com.vn/dich-vu/rcs-tieu-chuan-tuyen-bo-tai-che-quoc-te/,1.0,11.0,5.0,4
248,rcs là gì,https://knacert.com.vn/rcs-tieu-chuan-tuyen-bo-tai-che-quoc-te,https://knacert.com.vn/cong-cu-cai-tien/tieu-chuan-tuyen-bo-tai-che-rcs-la-gi/,0.0,104.0,13.028846153846153,3
249,tiêu chuẩn rcs,,https://knacert.com.vn/dich-vu/rcs-tieu-chuan-tuyen-bo-tai-che-quoc-te/,1.0,12.0,1.6666666666666665,2
250,chứng chỉ fcca,,https://knacert.com.vn/dich-vu/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart/,0.0,9.0,2.7777777777777777,1
251,fcca,https://knacert.com.vn/service/walmart-factory-capability-and-capacity-audit-fcca/?lang=en,https://knacert.com.vn/dich-vu/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart/,0.0,64.0,4.640625,3
252,fcca là chứng chỉ gì,https://knacert.com.vn/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart,https://knacert.com.vn/dich-vu/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart/,1.0,43.0,5.976744186046512,1
253,fcca là gì,https://knacert.com.vn/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart,https://knacert.com.vn/dich-vu/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart/,2.0,53.0,4.264150943396226,2
254,tiêu chuẩn fcca,,https://knacert.com.vn/dich-vu/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart/,0.0,1.0,3.0,1
255,chứng chỉ sa8000,https://knacert.com.vn/blogs/tin-tong-hop/chung-chi-sa8000,https://knacert.com.vn/tin-tuc-tieu-chuan/nhung-cau-hoi-thuong-gap-ve-tieu-chuan-sa8000/,0.0,7.0,11.428571428571429,5
256,chứng nhận sa8000,https://knacert.com.vn/sa-8000-la-gi-tieu-chuan-sa-8000-trach-nhiem-xa-hoi-cho-doanh-nghiep,https://knacert.com.vn/tin-tuc-tieu-chuan/chinh-sach-sa8000-la-gi-huong-dan-soan-thao-tham-khao-mau/,0.0,8.0,9.875,3
257,sa8000,https://knacert.com.vn/blogs/tin-tong-hop/tim-hieu-phien-ban-moi-sa80002026-lo-trinh-chuyen-doi-cho-doanh-nghiep,https://knacert.com.vn/dich-vu/chung-nhan-sa8000/,1.0,30.0,10.5,6
258,sa8000 là gì,https://knacert.com.vn/blogs/tin-tuc/nhung-cau-hoi-thuong-gap-ve-tieu-chuan-sa8000,https://knacert.com.vn/tin-tuc-tieu-chuan/chinh-sach-sa8000-la-gi-huong-dan-soan-thao-tham-khao-mau/,1.0,107.0,6.654205607476635,5
259,tiêu chuẩn sa8000,https://knacert.com.vn/tin-tuc-tieu-chuan/tim-hieu-phien-ban-moi-sa80002026-lo-trinh-chuyen-doi-cho-doanh-nghiep/,https://knacert.com.vn/tin-tuc-tieu-chuan/tai-lieu-tieu-chuan-sa-80002014-tieng-viet-pdf/,0.0,16.0,4.9375,5
